City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
115,Dhidhdhoo,6.88,73.1,82.51,78,100,18.68,moderate rain,MV,2020-08-02 20:15:35
116,Guiren,33.67,118.19,80.29,91,98,7.25,overcast clouds,CN,2020-08-02 20:19:15
117,Ponta Do Sol,32.67,-17.1,70.0,72,4,5.26,clear sky,PT,2020-08-02 20:19:15
118,Praia,14.92,-23.51,84.2,74,20,9.17,few clouds,CV,2020-08-02 20:15:05
119,Zaraza,9.35,-65.32,82.8,85,99,5.41,light rain,VE,2020-08-02 20:19:15
120,Bethel,41.37,-73.41,84.0,83,75,9.17,broken clouds,US,2020-08-02 20:19:15
121,Chardara,41.25,67.97,78.31,33,0,8.68,clear sky,KZ,2020-08-02 20:19:16
122,Monroe,43.15,-77.68,87.01,51,75,25.28,broken clouds,US,2020-08-02 20:19:16
123,Pemangkat,1.17,108.97,77.85,92,100,6.35,overcast clouds,ID,2020-08-02 20:19:16
124,Gladstone,-23.85,151.25,60.8,72,90,4.7,overcast clouds,AU,2020-08-02 20:17:45
125,Jamestown,42.1,-79.24,73.99,94,90,11.41,light rain,US,2020-08-02 20:19:16
126,Leshukonskoye,64.9,45.76,50.31,95,100,8.61,overcast clouds,RU,2020-08-02 20:19:16
127,Naze,28.37,129.48,75.2,94,87,2.24,mist,JP,2020-08-02 20:19:16
128,Tartagal,-22.52,-63.8,91.47,24,0,7.18,clear sky,AR,2020-08-02 20:19:16
129,Alofi,-19.06,-169.92,62.6,100,84,3.36,broken clouds,NU,2020-08-02 20:19:16
130,Karratha,-20.74,116.85,68.04,75,75,7.74,broken clouds,AU,2020-08-02 20:17:26
131,Tshane,-24.02,21.87,56.75,36,0,6.96,clear sky,BW,2020-08-02 20:19:16
132,Thompson,55.74,-97.86,75.2,38,20,5.82,few clouds,CA,2020-08-02 20:15:34
133,Fort Nelson,58.81,-122.7,75.2,50,75,2.24,broken clouds,CA,2020-08-02 20:19:17
134,Camargo,27.67,-105.17,90.59,22,26,10.13,scattered clouds,MX,2020-08-02 20:19:17
135,Port Elizabeth,-33.92,25.57,68.0,49,0,12.75,clear sky,ZA,2020-08-02 20:19:17
136,Puerto Ayora,-0.74,-90.35,77.0,69,75,13.87,broken clouds,EC,2020-08-02 20:19:17
137,Saint Anthony,45.02,-93.22,72.0,49,75,12.75,broken clouds,US,2020-08-02 20:19:17
138,Harper,4.38,-7.72,73.89,74,100,5.46,overcast clouds,LR,2020-08-02 20:19:17
139,Shakawe,-18.37,21.85,57.49,35,0,5.08,clear sky,BW,2020-08-02 20:19:17
140,Atar,20.52,-13.05,105.01,9,0,10.31,clear sky,MR,2020-08-02 20:19:17
141,Umea,63.83,20.26,57.2,93,75,3.36,broken clouds,SE,2020-08-02 20:19:17
142,Beckley,37.78,-81.19,80.6,51,20,13.87,few clouds,US,2020-08-02 20:19:17
143,Leningradskiy,69.38,178.42,38.61,88,100,9.4,overcast clouds,RU,2020-08-02 20:19:17
144,Luanda,-8.84,13.23,71.6,83,5,5.82,clear sky,AO,2020-08-02 20:16:43
145,Eyrarbakki,63.86,-21.15,54.0,81,75,14.99,broken clouds,IS,2020-08-02 20:19:18
146,Pittsburg,38.03,-121.88,91.0,35,1,11.41,clear sky,US,2020-08-02 20:16:25
147,Estelle,29.85,-90.11,86.0,88,75,9.17,light rain,US,2020-08-02 20:19:18
148,Iqaluit,63.75,-68.51,51.8,81,75,4.7,broken clouds,CA,2020-08-02 20:19:18
149,Nador,35.17,-2.93,96.8,15,0,14.99,light rain,MA,2020-08-02 20:14:58
150,Huntsville,34.73,-86.59,87.01,54,40,2.26,scattered clouds,US,2020-08-02 20:17:57
151,Bowen,-20.02,148.23,64.99,93,90,5.82,overcast clouds,AU,2020-08-02 20:19:18
152,Berea,41.37,-81.85,70.0,94,90,16.11,light rain,US,2020-08-02 20:16:43
153,Chokurdakh,70.63,147.92,49.12,65,100,2.93,overcast clouds,RU,2020-08-02 20:19:18
154,Gwadar,25.12,62.33,83.61,84,5,8.23,clear sky,PK,2020-08-02 20:19:18
155,Frontera Comalapa,15.65,-92.13,86.32,56,5,3.4,light rain,MX,2020-08-02 20:19:18
156,Lins,-21.68,-49.74,78.8,44,0,4.7,clear sky,BR,2020-08-02 20:19:19
157,Sibenik,43.73,15.91,81.0,61,26,3.36,scattered clouds,HR,2020-08-02 20:19:19
158,Arraial Do Cabo,-22.97,-42.03,73.4,56,2,9.17,clear sky,BR,2020-08-02 20:16:47
159,Caravelas,-17.71,-39.25,72.01,71,20,11.52,few clouds,BR,2020-08-02 20:19:19
160,Port Hedland,-20.32,118.57,57.2,100,90,4.7,overcast clouds,AU,2020-08-02 20:19:19
161,Longyearbyen,78.22,15.64,50.0,81,20,2.24,few clouds,SJ,2020-08-02 20:19:16
162,Dauriya,49.93,116.87,58.32,83,30,8.48,scattered clouds,RU,2020-08-02 20:19:19
163,Teguldet,57.31,88.17,55.83,78,0,0.13,clear sky,RU,2020-08-02 20:19:19
164,Smithers,54.78,-127.17,68.0,56,90,5.82,overcast clouds,CA,2020-08-02 20:15:34
165,Eufaula,31.89,-85.15,96.01,48,4,1.54,clear sky,US,2020-08-02 20:19:19
166,Saint-Philippe,-21.36,55.77,68.0,60,90,9.17,overcast clouds,RE,2020-08-02 20:19:19
167,Provideniya,64.38,-173.3,48.2,66,40,8.95,scattered clouds,RU,2020-08-02 20:19:20
168,Severomuysk,56.15,113.43,49.05,93,55,3.53,broken clouds,RU,2020-08-02 20:19:20
169,Tasiilaq,65.61,-37.64,50.0,61,5,19.46,clear sky,GL,2020-08-02 20:19:20
170,Athabasca,54.72,-113.29,76.8,70,0,9.42,clear sky,CA,2020-08-02 20:19:20
171,Keningau,5.34,116.16,77.0,83,20,6.93,few clouds,MY,2020-08-02 20:19:20
172,Mantua,45.17,10.78,78.01,79,65,5.01,light rain,IT,2020-08-02 20:19:20
173,Bunia,1.57,30.25,66.85,86,86,1.32,light rain,CD,2020-08-02 20:19:20
174,Berlevag,70.86,29.09,48.2,100,75,14.99,light intensity drizzle,NO,2020-08-02 20:19:20
175,Broome,42.25,-75.83,89.01,45,20,19.46,few clouds,US,2020-08-02 20:19:20
176,Darhan,49.49,105.92,58.19,87,100,3.56,overcast clouds,MN,2020-08-02 20:19:21
177,Tazovskiy,67.47,78.7,53.2,89,72,6.62,broken clouds,RU,2020-08-02 20:19:21
178,Klaksvik,62.23,-6.59,50.0,100,98,13.87,drizzle,FO,2020-08-02 20:19:21
179,Winburg,-28.52,27.01,45.55,58,0,2.51,clear sky,ZA,2020-08-02 20:19:21
180,Anadyr,64.75,177.48,51.8,71,75,2.24,shower rain,RU,2020-08-02 20:19:21
181,Filingue,14.35,3.32,84.85,59,73,13.42,light rain,NE,2020-08-02 20:19:21
182,Kushiro,42.98,144.37,64.13,95,7,4.76,clear sky,JP,2020-08-02 20:17:21
183,Muisne,0.6,-80.03,80.6,83,90,8.05,shower rain,EC,2020-08-02 20:19:21
184,Kirkwood,38.58,-90.41,86.0,54,75,4.7,broken clouds,US,2020-08-02 20:19:21
185,Oshikango,-17.4,15.88,64.4,18,0,4.7,clear sky,NA,2020-08-02 20:19:21
186,Konongo,6.62,-1.22,73.11,83,17,2.66,few clouds,GH,2020-08-02 20:19:22
187,Road Town,18.42,-64.62,87.8,74,40,5.82,scattered clouds,VG,2020-08-02 20:14:59
188,Kokopo,-4.35,152.26,77.63,85,73,7.02,broken clouds,PG,2020-08-02 20:19:22
189,Kirakira,-10.45,161.92,78.89,81,19,5.5,few clouds,SB,2020-08-02 20:19:22
190,Goderich,43.75,-81.72,66.99,86,100,18.41,moderate rain,CA,2020-08-02 20:19:22
191,Dingle,11.0,122.67,76.48,82,99,3.65,overcast clouds,PH,2020-08-02 20:19:22
192,Berbera,10.44,45.01,92.62,40,72,19.44,broken clouds,SO,2020-08-02 20:19:22
193,Soyo,-6.13,12.37,72.43,88,0,8.08,clear sky,AO,2020-08-02 20:19:22
194,Sovetskiy,61.36,63.58,65.21,85,100,4.99,light rain,RU,2020-08-02 20:19:06
195,Nanortalik,60.14,-45.24,47.41,90,57,11.39,broken clouds,GL,2020-08-02 20:19:22
196,Dicabisagan,17.08,122.42,81.63,81,91,7.81,overcast clouds,PH,2020-08-02 20:19:22
197,Viedma,-40.81,-63.0,62.01,46,9,5.61,clear sky,AR,2020-08-02 20:19:22
198,Westport,41.14,-73.36,84.99,74,75,9.17,broken clouds,US,2020-08-02 20:17:02
199,Vostok,46.49,135.88,63.05,99,100,3.49,overcast clouds,RU,2020-08-02 20:19:23
200,Sept-Iles,50.2,-66.38,78.8,54,75,8.05,broken clouds,CA,2020-08-02 20:15:12
201,Adra,36.75,-3.02,86.0,94,20,3.36,few clouds,ES,2020-08-02 20:19:23
202,Greenwood,34.17,-82.12,91.99,65,1,5.82,thunderstorm,US,2020-08-02 20:19:23
203,Meulaboh,4.14,96.13,76.93,84,100,3.71,light rain,ID,2020-08-02 20:19:23
204,Jardim,-21.48,-56.14,87.76,27,0,8.88,clear sky,BR,2020-08-02 20:19:23
205,Neiafu,-18.65,-173.98,75.2,78,75,4.7,broken clouds,TO,2020-08-02 20:19:23
206,Yarmouth,41.71,-70.23,80.6,74,1,14.99,clear sky,US,2020-08-02 20:19:23
207,Bluff,-46.6,168.33,45.9,94,43,7.11,scattered clouds,NZ,2020-08-02 20:19:23
208,Khani,41.96,42.96,66.2,93,75,2.24,broken clouds,GE,2020-08-02 20:19:23
209,Beringovskiy,63.05,179.32,47.28,75,100,18.05,overcast clouds,RU,2020-08-02 20:19:23
210,George,-33.96,22.46,53.6,66,0,4.7,clear sky,ZA,2020-08-02 20:19:24
