City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
365,Obera,AR,76.37,clear sky,-27.49,-55.12,CABAÑAS DORALIA
366,Aquin,HT,84.92,light rain,18.28,-73.4,Asheev Beach
369,Mana,GF,81.81,light rain,5.66,-53.78,LE SAMANA
371,Ardakan,IR,89.6,few clouds,32.31,54.02,Ardakan Hotel
376,Vittorio Veneto,IT,75.0,light rain,45.98,12.3,Hotel Calvi
377,Cartagena,CO,87.8,scattered clouds,10.4,-75.51,Allure Chocolat
379,Tevaitoa,PF,79.12,overcast clouds,-16.78,-151.5,Hôtel Raiatea Lodge
381,Carutapera,BR,80.62,light rain,-1.2,-46.02,Lidera
382,Qinzhou,CN,78.4,moderate rain,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
383,Honiara,SB,77.72,scattered clouds,-9.43,159.95,Heritage Park Hotel
386,Lahaina,US,84.2,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
387,Hambantota,LK,80.1,overcast clouds,6.12,81.12,Bungalow 63
388,Kavaratti,IN,82.45,light rain,10.57,72.64,Bismillah Hotel And Lodging
393,Rawatbhata,IN,83.32,overcast clouds,24.93,75.58,Bhainsrorgarh Fort Hotel
394,San Ramon,US,89.01,clear sky,37.78,-121.98,San Ramon Marriott
396,Gurupi,BR,89.11,overcast clouds,-11.73,-49.07,Via Norte Hotel
397,Diffa,NE,83.41,scattered clouds,13.32,12.61,ProDAF/Diffa
402,Wah,PK,86.0,broken clouds,33.8,72.7,UW Boys Hostel 27 Area Wah
407,Port Blair,IN,82.35,light rain,11.67,92.75,Fortune Resort Bay Island
408,Zenzeli,RU,77.02,overcast clouds,45.92,47.05,"Gostinitsa ""Zvezdnaya"""
409,Tortoli,IT,84.2,clear sky,39.93,9.66,Hotel La Bitta
417,Kavieng,PG,81.59,few clouds,-2.57,150.8,Nusa Island Retreat
419,San Policarpo,PH,82.13,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
420,Jining,CN,77.88,moderate rain,35.41,116.58,Yunhe Star Hotel
434,Mbuji-Mayi,CD,82.94,broken clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
437,Jinxi,CN,79.32,clear sky,30.43,116.29,Jinling Hotel
438,Toronto,CA,82.4,broken clouds,43.7,-79.42,InterContinental Toronto Yorkville
